"domain";"phylum";"class";"order";"family";"genus";"species"
"OTU_13225";"Bacteria";"Desulfobacterota";"Desulfuromonadia";"Geobacterales";"Pseudopelobacteraceae";NA;NA
"OTU_13226";"Bacteria";"Desulfobacterota";"MBNT15";"MBNT15";"MBNT15";"CG2-30-66-27";NA
"OTU_13227";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Azospirillales_A";"BOG-932";"BOG-932";NA
"OTU_13228";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_13229";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Nevskiales";"Nevskiaceae";"Hydrocarboniphaga";NA
"OTU_13243";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";"Bog-209";NA
"OTU_13244";"Bacteria";"Acidobacteriota";"Holophagae";"Holophagales";"Holophagaceae";NA;NA
"OTU_13245";"Bacteria";"Bacteroidota";"UBA10030";"UBA10030";"UBA6906";NA;NA
"OTU_1326";"Bacteria";"Planctomycetota";"Planctomycetes";"Pirellulales";"UBA1268";NA;NA
"OTU_13267";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";NA;NA
"OTU_13268";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";NA;NA
"OTU_13269";"Bacteria";"Acidobacteriota";"Thermoanaerobaculia";"Thermoanaerobaculales";"Thermoanaerobaculaceae";"RBG-13-68-16";NA
"OTU_1327";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Magnetospirillaceae";"Telmatospirillum";NA
"OTU_13271";"Bacteria";"Omnitrophota";"Koll11";"2-02-FULL-51-18";"2-02-FULL-51-18";"20-14-0-80-50-8";NA
"OTU_13272";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"OTU_13273";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_13276";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";"Palsa-1447";NA
"OTU_1328";"Bacteria";"Elusimicrobiota";"Elusimicrobia";"2-01-FULL-59-12";"2-01-FULL-59-12";"2-01-FULL-59-12";NA
"OTU_13292";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Acidimicrobiales";"RAAP-2";"RAAP-2";NA
"OTU_13294";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_13295";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Chromobacteriaceae";NA;NA
"OTU_1331";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_13317";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Steroidobacterales";"Steroidobacteraceae";NA;NA
"OTU_1332";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Cronobacter";NA
"OTU_13326";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7540";"UBA7540";NA;NA
"OTU_13327";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";NA;NA
"OTU_13329";"Bacteria";"Cyanobacteria";"Vampirovibrionia";"Obscuribacterales";"Obscuribacteraceae";NA;NA
"OTU_13330";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Weissella";NA
"OTU_13332";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_13333";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Rickettsiaceae";"Rickettsia";NA
"OTU_13335";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Chitinibacteraceae";"Iodobacter";NA
"OTU_13337";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";"Opitutus";NA
"OTU_13353";"Bacteria";"Bacteroidota";"UBA10030";"UBA10030";"UBA6906";NA;NA
"OTU_13354";"Bacteria";"Chloroflexota";"Anaerolineae";"Anaerolineales";"EnvOPS12";"OLB14";NA
"OTU_1336";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";"UBA7541";NA
"OTU_13370";"Bacteria";"Planctomycetota";"Planctomycetes";"Gemmatales";"Gemmataceae";"F1-60-MAGs120";NA
"OTU_13386";"Bacteria";"Nitrospirota";"Nitrospiria";"Nitrospirales";"NS-4";"SCTG01";NA
"OTU_13387";"Bacteria";"Planctomycetota";"Planctomycetes";"Pirellulales";"Pirellulaceae";NA;NA
"OTU_13388";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_1339";"Bacteria";"Dormibacterota";"Dormibacteria";"UBA8260";"UBA8260";"Palsa-851";NA
"OTU_134";"Bacteria";"Planctomycetota";"Planctomycetes";"Planctomycetales";"Planctomycetaceae";NA;NA
"OTU_1340";"Bacteria";"Methylomirabilota";"Methylomirabilia";"Rokubacteriales";"GWA2-73-35";NA;NA
"OTU_13403";"Bacteria";"Actinobacteriota";"Actinomycetia";"Mycobacteriales";"Mycobacteriaceae";"Mycobacterium";NA
"OTU_13406";"Bacteria";"Planctomycetota";"Phycisphaerae";"Phycisphaerales";"SM1A02";"UBA2396";NA
"OTU_13407";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"OTU_13408";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"ATCC43930";"Stellaceae";"URHD0088";NA
"OTU_13410";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Polynucleobacter";NA
"OTU_13412";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"SM23-39";"PALSA-1448";NA
"OTU_1342";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Pseudanabaenales";"Pseudanabaenaceae";"Pseudanabaena";NA
"OTU_13426";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"SM23-39";"PALSA-1448";NA
"OTU_1343";"Bacteria";"Bdellovibrionota";"Bdellovibrionia_A";"UBA1018";"UBA1018";NA;NA
"OTU_1344";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Crocinitomicaceae";NA;NA
"OTU_13442";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Nostocaceae";"Dolichospermum_A";NA
"OTU_13443";"Bacteria";"Dormibacterota";"Dormibacteria";"UBA8260";"UBA8260";NA;NA
"OTU_13444";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_13446";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"UBA2165";"TMED23";NA
"OTU_13469";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_1348";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Rhodocyclaceae";NA;NA
"OTU_13482";"Bacteria";"Elusimicrobiota";"Elusimicrobia";"2-02-FULL-39-32";"2-02-FULL-39-32";"2-02-FULL-39-32";NA
"OTU_13483";"Bacteria";"FCPU426";"Palsa-1180";"Palsa-1180";"Palsa-1180";"Bog-1183";NA
"OTU_13484";"Bacteria";"Gemmatimonadota";"Gemmatimonadetes";"Gemmatimonadales";"Gemmatimonadaceae";NA;NA
"OTU_13486";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"UBA1936";NA
"OTU_13488";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";NA;NA
"OTU_13489";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"SM23-39";"PALSA-1448";NA
"OTU_13490";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Palsa-1439";"Palsa-1439";"Palsa-1439";NA
"OTU_13491";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";"UBA11358";NA
"OTU_1350";"Bacteria";"Dormibacterota";"Dormibacteria";"Dormibacterales";"Dormibacteraceae";NA;NA
"OTU_13502";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";NA;NA
"OTU_13503";"Bacteria";"Acidobacteriota";"Holophagae";"Holophagales";"Holophagaceae";NA;NA
"OTU_13506";"Bacteria";"Chloroflexota";"Anaerolineae";"Anaerolineales";"UBA6092";"UBA6092";NA
"OTU_13507";"Bacteria";"Desulfobacterota";"Desulfobulbia";"Desulfobulbales";"Desulfobulbaceae";"Desulfobulbus";NA
"OTU_13508";"Bacteria";"Methylomirabilota";"Methylomirabilia";"Rokubacteriales";"GWA2-73-35";NA;NA
"OTU_13509";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"UBA9655";"UBA9655";"UBA9655";NA
"OTU_13510";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";NA;NA
"OTU_1352";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Diplorickettsiales";"Diplorickettsiaceae";"Rickettsiella";NA
"OTU_13523";"Bacteria";"Bacteroidota";"UBA10030";"UBA10030";"UBA10030";"Fen-1298";NA
"OTU_13524";"Bacteria";"Chloroflexota";"Anaerolineae";"UBA3071";"CG2-30-64-16";"CG2-30-64-16";NA
"OTU_13525";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"OTU_1354";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";"Z2-YC6860";NA
"OTU_13540";"Bacteria";"Actinobacteriota";"Actinomycetia";"Nanopelagicales";"Nanopelagicaceae";"Planktophila";NA
"OTU_13541";"Bacteria";"Bacteroidota";"UBA10030";"UBA10030";"UBA10030";"UBA9647";NA
"OTU_13543";"Bacteria";"Patescibacteria";"Paceibacteria";"UBA9983";"Zambryskibacteraceae";"C7867-006";NA
"OTU_13544";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"SM23-39";"PALSA-1448";NA
"OTU_13560";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";NA;NA
"OTU_13563";"Bacteria";"Patescibacteria";"Paceibacteria";"UBA9983";"UBA9973";"UBA9973";NA
"OTU_13564";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"Asticcacaulis";NA
"OTU_13579";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Hymenobacteraceae";"Hymenobacter";NA
"OTU_1358";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Methylococcales";"Methylomonadaceae";"Methylobacter_A";NA
"OTU_13580";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Nostocaceae";"Nostoc";NA
"OTU_13581";"Bacteria";"Eremiobacterota";"Eremiobacteria";"UBP12";"UBA5184";NA;NA
"OTU_13583";"Bacteria";"Nitrospirota";"Nitrospiria";"Nitrospirales";"NS-4";"SCTG01";NA
"OTU_13584";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Rickettsiaceae";NA;NA
"OTU_13587";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";"Legionella";NA
"OTU_13588";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Methylococcales";"Methylomonadaceae";"Methylovulum";NA
"OTU_1359";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";"VAZQ01";NA
"OTU_13590";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";NA;NA
"OTU_136";"Bacteria";"Bacteroidota";"Bacteroidia";"AKYH767";"2-12-FULL-35-15";"2-12-FULL-35-15";NA
"OTU_13603";"Bacteria";"Nitrospirota";"Nitrospiria";"2-01-FULL-66-17";"2-01-FULL-66-17";"2-01-FULL-66-17";NA
"OTU_13605";"Bacteria";"Nitrospirota";"Thermodesulfovibrionia";"Thermodesulfovibrionales";"Magnetobacteriaceae";"HCH-1";NA
"OTU_13608";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_1362";"Bacteria";"Dormibacterota";"Dormibacteria";"UBA8260";"UBA8260";NA;NA
"OTU_13623";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";NA;NA
"OTU_13624";"Bacteria";"Actinobacteriota";"Thermoleophilia";"UBA2241";"UBA2241";"PALSA-647";NA
"OTU_13625";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_13626";"Bacteria";"Omnitrophota";"Koll11";"2-02-FULL-51-18";"2-02-FULL-51-18";"20-14-0-80-50-8";NA
"OTU_13627";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"OTU_13629";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";NA;NA
"OTU_1363";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Reyranellales";"Reyranellaceae";"Reyranella";NA
"OTU_13630";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";NA;NA
"OTU_13642";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";NA;NA
"OTU_13643";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";"Solibacter";NA
"OTU_13645";"Bacteria";"Cyanobacteria";"Vampirovibrionia";"Obscuribacterales";"Obscuribacteraceae";NA;NA
"OTU_13646";"Bacteria";"Patescibacteria";"Saccharimonadia";"UBA4664";"UBA4664";"UBA4664";NA
"OTU_13649";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"OTU_13652";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"Parachlamydiaceae";NA;NA
"OTU_13653";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";"UBA6082";NA
"OTU_13654";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";"UBA6082";NA
"OTU_1366";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Methylococcales";"Methylomonadaceae";NA;NA
"OTU_13668";"Bacteria";"Acidobacteriota";"Vicinamibacteria";"Vicinamibacterales";"UBA2999";"Gp6-AA56";NA
"OTU_13669";"Bacteria";"Desulfobacterota_B";"Binatia";"UTPRO1";"UTPRO1";NA;NA
"OTU_13682";"Bacteria";"Acidobacteriota";"Holophagae";"Holophagales";"Holophagaceae";"Geothrix";NA
"OTU_13683";"Bacteria";"Acidobacteriota";"UBA6911";"UBA6911";"UBA6911";"Gp18-AA60";NA
"OTU_13684";"Bacteria";"Nitrospirota";"Thermodesulfovibrionia";"Thermodesulfovibrionales";"UBA9935";NA;NA
"OTU_13685";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"Phenylobacterium";NA
"OTU_1369";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_13699";"Bacteria";"Deinococcota";"Deinococci";"Deinococcales";"Thermaceae";"Meiothermus";NA
"OTU_13700";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";NA;NA
"OTU_13701";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"OTU_13717";"Bacteria";"Acidobacteriota";"Thermoanaerobaculia";"Thermoanaerobaculales";"Thermoanaerobaculaceae";"Thermoanaerobaculum";NA
"OTU_13718";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Nostocaceae";NA;NA
"OTU_13719";"Bacteria";"Cyanobacteria";"Vampirovibrionia";"Obscuribacterales";"Obscuribacteraceae";NA;NA
"OTU_13721";"Bacteria";"Myxococcota";"Myxococcia";"Myxococcales";"40CM-4-68-19";"40CM-4-68-19";NA
"OTU_13723";"Bacteria";"Patescibacteria";"Paceibacteria";"UBA9983";"Zambryskibacteraceae";"C7867-006";NA
"OTU_13724";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_13726";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";NA;NA
"OTU_13741";"Bacteria";"Chloroflexota";"Anaerolineae";"Anaerolineales";"EnvOPS12";"UBA8950";NA
"OTU_13742";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Weissella";NA
"OTU_13744";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas";NA
"OTU_13746";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Hydromonas";NA
"OTU_13770";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"OTU_13771";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhodomicrobiaceae";NA;NA
"OTU_13788";"Bacteria";"Firmicutes_G";"UBA4882";"UBA8346";"UBA8346";"Hydrogenispora";NA
"OTU_13789";"Bacteria";"Nitrospirota";"Nitrospiria";"Nitrospirales";"NS-4";"SCTG01";NA
"OTU_13790";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"OTU_13808";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";"Silvibacterium";NA
"OTU_13809";"Bacteria";"Acidobacteriota";"Blastocatellia";"Pyrinomonadales";"Pyrinomonadaceae";NA;NA
"OTU_1381";"Bacteria";"Bacteroidota";"UBA10030";"UBA10030";"UBA6906";NA;NA
"OTU_13810";"Bacteria";"Actinobacteriota";"Actinomycetia";"Mycobacteriales";"Mycobacteriaceae";"Mycobacterium";NA
"OTU_13811";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium";NA
"OTU_13812";"Bacteria";"Bdellovibrionota";"Bdellovibrionia_A";"UBA1018";"UBA1018";NA;NA
"OTU_13813";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_13814";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_1383";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Gallionellaceae";NA;NA
"OTU_13833";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Microcystaceae";"Microcystis";NA
"OTU_13835";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";NA;NA
"OTU_13837";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"Phenylobacterium";NA
"OTU_1384";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_13840";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Anderseniellaceae";"Anderseniella";NA
"OTU_13841";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_13843";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";NA;NA
"OTU_13844";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";"UBA6082";NA
"OTU_13853";"Bacteria";"Bacteroidota";"UBA10030";"UBA10030";"UBA10030";"UBA9647";NA
"OTU_13854";"Bacteria";"Bdellovibrionota";"Bdellovibrionia";"Bdellovibrionales";"Bdellovibrionaceae";"Pseudobdellovibrio";NA
"OTU_13855";"Bacteria";"FCPU426";"Palsa-1180";"Palsa-1180";"Palsa-1180";"Bog-1183";NA
"OTU_13857";"Bacteria";"Omnitrophota";"Koll11";"GIF10";"UBA6249";"UBA6249";NA
"OTU_13858";"Bacteria";"Patescibacteria";"Paceibacteria";"2-02-FULL-40-12";"GWA2-44-9";NA;NA
"OTU_1386";"Bacteria";"Nitrospirota";"Nitrospiria";"Nitrospirales";"NS-4";"SCTG01";NA
"OTU_13860";"Bacteria";"Patescibacteria";"Paceibacteria";"UBA9983";"Zambryskibacteraceae";"C7867-006";NA
"OTU_13861";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"OTU_13862";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_13863";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"OTU_13866";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"Parachlamydiaceae";NA;NA
"OTU_13867";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"Parachlamydiaceae";NA;NA
"OTU_13882";"Bacteria";"Firmicutes_A";"Clostridia";"Acetivibrionales";"Acetivibrionaceae";NA;NA
"OTU_13883";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"OTU_13886";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"Parachlamydiaceae";NA;NA
"OTU_13901";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";NA;NA
"OTU_13902";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";NA;NA
"OTU_13903";"Bacteria";"Chloroflexota";"Ktedonobacteria";"Ktedonobacterales";"Ktedonobacteraceae";"UBA11361";NA
"OTU_13904";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Phormidesmiales";"Phormidesmiaceae";"Phormidesmis";NA
"OTU_13905";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Aerococcaceae";"Aerococcus";NA
"OTU_13907";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"Brevundimonas";NA
"OTU_13908";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_13909";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_1392";"Bacteria";"Actinobacteriota";"Actinomycetia";"Actinomycetales";"Microbacteriaceae";NA;NA
"OTU_13924";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";NA;NA
"OTU_13927";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"PCC-6307";"Cyanobiaceae";NA;NA
"OTU_13928";"Bacteria";"Dormibacterota";"Dormibacteria";"UBA8260";"UBA8260";NA;NA
"OTU_1393";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_13931";"Bacteria";"Planctomycetota";"Phycisphaerae";"Sedimentisphaerales";"Anaerohalophaeraceae";NA;NA
"OTU_13932";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Magnetospirillaceae";NA;NA
"OTU_13933";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Polynucleobacter";NA
"OTU_1394";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";NA;NA
"OTU_13941";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";NA;NA
"OTU_13943";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_13944";"Bacteria";"Gemmatimonadota";"Gemmatimonadetes";"Gemmatimonadales";"GWC2-71-9";NA;NA
"OTU_13945";"Bacteria";"Myxococcota";"Myxococcia";"Myxococcales";"Myxococcaceae";NA;NA
"OTU_13946";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"OTU_1395";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Microcystaceae";"Microcystis";NA
"OTU_13961";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";NA;NA
"OTU_13964";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Hymenobacteraceae";"Hymenobacter";NA
"OTU_13966";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";NA;NA
"OTU_13967";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";NA;NA
"OTU_13969";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Magnetospirillaceae";NA;NA
"OTU_13988";"Bacteria";"Chloroflexota";"Ktedonobacteria";"Ktedonobacterales";"Ktedonobacteraceae";"UBA11361";NA
"OTU_13989";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Steroidobacterales";"Steroidobacteraceae";"13-2-20CM-66-19";NA
"OTU_13990";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";NA;NA
"OTU_13991";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";NA;NA
"OTU_13992";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";NA;NA
"OTU_14";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_1400";"Bacteria";"Acidobacteriota";"Vicinamibacteria";"Vicinamibacterales";"UBA2999";"Gp6-AA56";NA
"OTU_14008";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_14009";"Bacteria";"Myxococcota";"Myxococcia";"Myxococcales";"Anaeromyxobacteraceae";"Anaeromyxobacter";NA
"OTU_14026";"Bacteria";"Patescibacteria";"Paceibacteria";"UBA9983";"UBA9973";"UBA9973";NA
"OTU_14027";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_14028";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_14029";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Polynucleobacter";NA
"OTU_14030";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Gallionellaceae";"Gallionella";NA
"OTU_1404";"Bacteria";"Actinobacteriota";"Actinomycetia";"Actinomycetales";"Microbacteriaceae";NA;NA
"OTU_1405";"Bacteria";"Acidobacteriota";"Vicinamibacteria";"Vicinamibacterales";"UBA2999";"Gp6-AA56";NA
"OTU_14051";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"IMCC26256";"PALSA-555";"PALSA-555";NA
